Date,Open,High,Low,Close,Adj Close,Volume
2021-08-03,2609.413086,2630.314209,2449.353516,2502.349609,2502.349609,22696753413
2021-08-04,2508.544922,2764.443604,2463.469482,2724.619873,2724.619873,25038698173
2021-08-05,2725.669678,2840.430664,2540.684082,2827.328857,2827.328857,31057928075
2021-08-06,2827.503418,2944.903320,2727.792725,2890.941650,2890.941650,26528577879
2021-08-07,2891.707520,3170.229736,2868.535645,3157.238770,3157.238770,33081467129
2021-08-08,3161.232666,3184.604004,2951.747314,3013.732666,3013.732666,28433638008
2021-08-09,3012.885742,3185.701172,2900.926025,3167.856201,3167.856201,31983260936
2021-08-10,3163.050049,3228.940674,3059.229004,3141.691162,3141.691162,27605221710
2021-08-11,3142.830322,3269.209473,3122.916504,3164.245117,3164.245117,26729035052
2021-08-12,3164.175781,3236.314697,2984.166992,3043.414307,3043.414307,25403699845
2021-08-13,3049.001221,3324.671631,3037.676025,3322.211670,3322.211670,23868866254
2021-08-14,3322.762695,3329.281006,3214.519775,3265.443359,3265.443359,19860862133
2021-08-15,3266.276123,3320.084229,3117.791748,3310.504150,3310.504150,22166205051
2021-08-16,3309.422119,3333.994873,3139.778564,3156.509521,3156.509521,23080039949
2021-08-17,3149.380371,3288.812744,2996.468262,3014.845947,3014.845947,25509056745
2021-08-18,3011.963623,3124.976074,2959.028320,3020.089844,3020.089844,21539248425
2021-08-19,3019.126953,3184.435547,2963.150146,3182.702148,3182.702148,19546290360
2021-08-20,3182.162598,3298.246582,3178.103760,3286.935303,3286.935303,20885619828
2021-08-21,3286.931641,3307.351563,3209.866211,3226.083984,3226.083984,18113977628
2021-08-22,3226.227295,3272.733154,3142.007080,3242.115479,3242.115479,15983278460
2021-08-23,3241.357422,3373.384277,3235.851318,3319.257324,3319.257324,20511110509
2021-08-24,3324.855469,3358.688232,3154.121338,3172.456299,3172.456299,20131028906
2021-08-25,3174.269775,3248.727295,3086.114990,3224.915283,3224.915283,18902728235
2021-08-26,3228.747314,3249.655273,3060.228760,3100.325439,3100.325439,17405668117
2021-08-27,3096.406006,3281.840576,3064.485107,3270.600830,3270.600830,18489602004
2021-08-28,3275.104492,3284.845947,3217.403564,3244.403320,3244.403320,13709633698
2021-08-29,3246.770996,3283.235596,3158.840332,3227.002686,3227.002686,13296586731
2021-08-30,3227.192627,3346.581055,3151.444580,3224.374268,3224.374268,19306924485
2021-08-31,3227.758057,3466.992188,3195.216553,3433.732666,3433.732666,27280502987
2021-09-01,3430.762451,3836.867432,3387.408447,3834.828125,3834.828125,30070890104
2021-09-02,3825.027832,3830.711426,3726.750488,3790.989990,3790.989990,24387397330
2021-09-03,3787.486572,4022.469238,3712.678223,3940.614746,3940.614746,26207765094
2021-09-04,3937.910156,3969.448730,3837.931152,3887.828369,3887.828369,20806963328
2021-09-05,3886.331055,3979.186523,3838.487305,3952.133545,3952.133545,18371468576
2021-09-06,3951.520752,3968.426514,3868.994385,3928.379395,3928.379395,18674691198
2021-09-07,3926.527588,3945.314209,3062.222412,3426.394287,3426.394287,39131346397
2021-09-08,3428.378174,3559.121338,3224.764893,3497.315186,3497.315186,31738430771
2021-09-09,3452.548340,3562.992676,3400.517090,3427.340088,3427.340088,24118055831
2021-09-10,3425.564941,3512.571289,3157.059082,3211.505859,3211.505859,22355974097
2021-09-11,3209.030518,3346.526367,3208.961914,3270.278076,3270.278076,18627122934
2021-09-12,3270.291748,3462.468262,3235.109375,3410.134521,3410.134521,16810411424
2021-09-13,3407.471924,3426.502197,3121.514160,3285.511719,3285.511719,22721552948
2021-09-14,3286.316406,3429.169678,3273.630859,3429.169678,3429.169678,19125420848
2021-09-15,3431.217285,3615.282715,3365.913086,3615.282715,3615.282715,17548551804
2021-09-16,3613.073730,3673.310791,3489.805664,3571.294922,3571.294922,20093903064
2021-09-17,3569.568115,3589.305176,3356.449951,3398.538818,3398.538818,17722363229
2021-09-18,3397.422852,3540.807617,3371.892334,3432.018311,3432.018311,15995220233
2021-09-19,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743
2021-09-20,3329.670654,3343.325439,2940.839111,2958.993408,2958.993408,27371684581
2021-09-21,2977.310547,3101.697510,2676.407471,2764.431152,2764.431152,30405062665
2021-09-22,2763.209229,3089.083008,2741.440674,3077.867920,3077.867920,23742102645
2021-09-23,3077.974365,3173.544678,3038.097900,3155.523682,3155.523682,18516291047
2021-09-24,3154.562012,3159.644043,2747.337646,2931.669189,2931.669189,25595422789
2021-09-25,2930.884766,2968.994629,2818.970459,2925.565674,2925.565674,18932786754
2021-09-26,2926.343018,3114.857422,2744.583008,3062.265381,3062.265381,21172766310
2021-09-27,3065.837891,3163.665039,2932.692871,2934.138916,2934.138916,19164053681
2021-09-28,2928.963379,2970.770508,2793.360596,2807.296631,2807.296631,16895079070
2021-09-29,2809.297607,2946.881348,2786.988281,2853.143311,2853.143311,15763456158
2021-09-30,2852.558838,3046.519531,2840.289551,3001.678955,3001.678955,17661065099
2021-10-01,3001.129395,3329.853516,2978.654297,3307.516113,3307.516113,22307625573
2021-10-02,3308.870361,3464.837402,3260.027588,3391.694336,3391.694336,19202671704
2021-10-03,3390.767578,3484.605713,3348.120117,3418.358643,3418.358643,15516566862
2021-10-04,3418.776367,3434.775391,3283.448730,3380.089111,3380.089111,17747154101
2021-10-05,3381.784424,3541.451660,3365.817627,3518.518555,3518.518555,16632591670
2021-10-06,3516.570313,3622.551270,3354.469727,3580.562012,3580.562012,21855226591
2021-10-07,3576.814453,3650.013184,3479.909180,3587.974854,3587.974854,19090322927
2021-10-08,3587.832764,3667.957520,3547.828125,3563.759277,3563.759277,16222029488
2021-10-09,3559.997803,3628.237305,3544.640381,3575.716797,3575.716797,12707036942
2021-10-10,3575.020508,3603.244873,3414.970947,3425.852783,3425.852783,16171746693
2021-10-11,3419.726807,3622.289551,3385.761719,3545.354004,3545.354004,18579189588
2021-10-12,3546.477783,3546.477783,3407.338135,3492.573242,3492.573242,18109578443
2021-10-13,3492.753662,3607.741699,3417.602051,3606.201660,3606.201660,16211275589
2021-10-14,3604.958984,3819.258545,3590.275146,3786.014160,3786.014160,19443499909
2021-10-15,3790.154297,3895.466309,3735.363525,3862.634766,3862.634766,20966841512
2021-10-16,3865.666504,3962.453125,3805.885986,3830.382080,3830.382080,16578095629
2021-10-17,3829.858887,3914.897949,3660.723389,3847.104492,3847.104492,15908090346
2021-10-18,3847.729980,3888.209229,3686.750488,3748.760254,3748.760254,17386204158
2021-10-19,3747.162842,3883.928711,3736.780273,3877.650879,3877.650879,15998757133
2021-10-20,3877.730957,4167.472168,3833.288086,4155.992188,4155.992188,20338319988
2021-10-21,4161.713379,4366.088379,4032.483887,4054.322754,4054.322754,28220661820
2021-10-22,4055.686523,4162.975586,3908.340332,3970.181885,3970.181885,19432937968
2021-10-23,3971.356445,4171.663574,3944.631836,4171.663574,4171.663574,14781537792
2021-10-24,4171.855957,4185.729492,3967.120361,4087.903076,4087.903076,14978083638
2021-10-25,4084.425781,4236.666992,4072.034668,4217.876953,4217.876953,15995727040
2021-10-26,4217.337891,4289.131348,4106.823730,4131.102051,4131.102051,17157714562
2021-10-27,4132.173340,4299.152832,3930.257324,3930.257324,3930.257324,26219530404
2021-10-28,3924.815430,4293.150879,3905.706055,4287.318848,4287.318848,25958154575
2021-10-29,4288.686523,4455.735352,4271.707520,4414.746582,4414.746582,22967641914
2021-10-30,4414.243652,4426.848633,4252.494141,4325.650391,4325.650391,14615490626
2021-10-31,4322.744141,4394.449707,4179.016113,4288.074219,4288.074219,17498160238
2021-11-01,4288.217285,4377.322266,4160.966797,4324.626953,4324.626953,17985288261
2021-11-02,4322.500977,4599.948242,4288.686523,4584.798828,4584.798828,20794448222
2021-11-03,4589.684570,4664.910156,4462.976074,4607.193848,4607.193848,21220463155
2021-11-04,4604.678711,4606.516113,4426.622559,4537.324219,4537.324219,18415244464
2021-11-05,4537.423340,4570.895996,4447.487305,4486.243164,4486.243164,15086003586
2021-11-06,4482.647949,4530.997070,4334.973633,4521.581055,4521.581055,14429076700
2021-11-07,4523.981934,4640.921875,4510.984375,4620.554688,4620.554688,13541376033
2021-11-08,4619.649414,4822.363281,4619.649414,4812.087402,4812.087402,19290896267
2021-11-09,4810.071289,4837.589355,4718.039063,4735.068848,4735.068848,20834172627
2021-11-10,4733.362793,4859.502930,4485.093262,4636.174316,4636.174316,22748160545
2021-11-11,4635.453613,4778.059082,4580.990234,4730.384277,4730.384277,17933201129
2021-11-12,4724.306641,4808.738770,4510.920410,4667.115234,4667.115234,18316060208
2021-11-13,4666.719238,4702.115234,4582.180664,4651.460449,4651.460449,14457436261
2021-11-14,4648.632813,4689.842773,4516.935547,4626.358887,4626.358887,12172962219
2021-11-15,4627.090820,4764.636230,4546.599121,4557.503906,4557.503906,16275851299
2021-11-16,4570.478027,4891.704590,4144.334961,4216.365234,4216.365234,27417502801
2021-11-17,4213.910645,4300.306641,4107.125977,4287.593750,4287.593750,22183461850
2021-11-18,4287.802246,4343.557129,3959.227783,4000.650879,4000.650879,21383250893
2021-11-19,3995.729492,4311.713867,3982.917480,4298.306641,4298.306641,20626269711
2021-11-20,4298.350586,4434.388184,4209.242676,4409.931152,4409.931152,15448261277
2021-11-21,4412.195313,4422.491699,4255.455078,4269.732910,4269.732910,14094831413
2021-11-22,4266.509277,4302.022949,4033.572266,4088.457764,4088.457764,19752218877
2021-11-23,4089.680420,4385.483398,4069.766602,4340.763672,4340.763672,22133497059
2021-11-24,4340.036133,4376.875977,4176.183594,4239.981445,4239.981445,21838037128
2021-11-25,4271.394531,4550.518066,4249.774414,4274.743164,4274.743164,18705358318
2021-11-26,4522.208984,4550.842285,3933.506592,4030.908936,4030.908936,26281795488
2021-11-27,4042.999023,4187.684082,4033.513916,4096.912109,4096.912109,16515693874
2021-11-28,4101.648926,4297.916504,3989.969971,4294.453613,4294.453613,15953126340
2021-11-29,4296.946777,4460.848633,4284.504883,4445.104980,4445.104980,19086475837
2021-11-30,4447.768066,4753.266113,4358.074219,4631.479004,4631.479004,28626354111
2021-12-01,4623.679688,4780.732422,4530.272461,4586.990234,4586.990234,27634826695
2021-12-02,4586.333008,4628.919922,4441.507813,4511.302246,4511.302246,21502671027
2021-12-03,4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528
2021-12-04,4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182
2021-12-05,4119.628906,4246.923340,4040.217529,4198.322754,4198.322754,25533062707
2021-12-06,4199.000000,4375.520508,3930.806641,4358.737305,4358.737305,28229518513
2021-12-07,4358.586914,4428.589355,4264.323730,4315.061523,4315.061523,22366213354
2021-12-08,4311.674316,4453.112305,4234.537598,4439.357910,4439.357910,18704315119
2021-12-09,4433.024902,4482.313965,4078.844238,4119.815918,4119.815918,22296131874
2021-12-10,4113.588379,4227.111816,3897.767578,3908.496094,3908.496094,28014595631
2021-12-11,3909.667725,4095.648438,3846.054443,4084.452393,4084.452393,19131502454
2021-12-12,4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914
2021-12-13,4136.359863,4145.955078,3680.609131,3784.226807,3784.226807,23999841386
2021-12-14,3773.495361,3857.493896,3704.872803,3779.199463,3779.199463,27012030464
